iter,score,time
1,0.2937880767830814,25.218162775039673
5,0.40602904086447655,30.58123254776001
10,0.43059164408643696,39.01047086715698
25,0.4591698837241762,52.91079020500183
50,0.4794733801100232,74.45051312446594
75,0.4846823864527569,89.55436325073242
100,0.4831598874832016,117.8914864063263
150,0.482899182987619,165.7714605331421
300,0.484519040294866,293.5969338417053
500,0.48391838932023185,466.8883287906647
750,0.48391838932023185,668.2313532829285
1000,0.48391838932023185,938.176361322403
